Node,Absorption Centrality
751,0.006
750,0.004
749,0.003
748,0.004
747,0.003
746,0.002
745,0.013
744,0.002
743,0.011
742,0.013
741,0.002
740,0.005
739,0.003
738,0.011
737,0.005
736,0.004
735,0.003
734,0.013
733,0.003
732,0.004
731,0.002
730,0.011
729,0.008
728,0.012
727,0.003
726,0.005
725,0.017
724,0.002
723,0.036
722,0.003
721,0.021
720,0.007
719,0.002
718,0.017
717,0.003
716,0.002
715,0.037
714,0.004
713,0.012
712,0.003
711,0.003
710,0.005
709,0.012
708,0.003
707,0.004
706,0.004
705,0.006
704,0.003
703,0.002
702,0.035
701,0.004
700,0.002
699,0.004
698,0.015
697,0.01
696,0.045
695,0.012
694,0.004
693,0.002
692,0.004
691,0.003
690,0.005
689,0.004
688,0.005
687,0.005
686,0.006
685,0.03
684,0.007
683,0.008
682,0.002
681,0.027
680,0.009
679,0.003
678,0.004
677,0.002
676,0.005
675,0.007
674,0.013
673,0.005
672,0.003
671,0.022
670,0.016
669,0.007
668,0.009
667,0.002
666,0.004
665,0.006
664,0.002
663,0.002
662,0.003
661,0.008
660,0.007
659,0.016
658,0.014
657,0.004
656,0.003
655,0.003
654,0.007
653,0.011
652,0.003
651,0.003
650,0.007
649,0.003
648,0.007
647,0.01
646,0.004
645,0.006
644,0.003
643,0.003
642,0.02
641,0.004
640,0.02
639,0.025
638,0.002
637,0.002
636,0.002
635,0.004
634,0.003
633,0.003
632,0.003
631,0.005
630,0.003
629,0.002
628,0.015
627,0.002
626,0.03
625,0.003
624,0.002
623,0.006
622,0.017
621,0.003
620,0.008
619,0.006
618,0.003
617,0.031
616,0.003
615,0.004
614,0.038
613,0.007
612,0.003
611,0.003
610,0.002
609,0.006
608,0.003
607,0.007
606,0.013
605,0.003
604,0.008
603,0.006
602,0.005
601,0.002
600,0.003
599,0.003
598,0.002
597,0.002
596,0.009
595,0.003
594,0.004
593,0.008
592,0.003
591,0.024
590,0.002
589,0.004
588,0.025
587,0.003
586,0.005
585,0.007
584,0.002
583,0.003
582,0.003
581,0.005
580,0.003
579,0.01
578,0.002
577,0.011
576,0.005
575,0.007
574,0.003
573,0.008
572,0.006
571,0.009
570,0.01
569,0.007
568,0.002
567,0.01
566,0.003
565,0.017
564,0.002
563,0.011
562,0.002
561,0.017
560,0.004
559,0.035
558,0.003
557,0.003
556,0.003
555,0.014
554,0.013
553,0.011
552,0.003
551,0.003
550,0.009
549,0.003
548,0.003
547,0.002
546,0.003
545,0.007
544,0.002
543,0.011
542,0.021
541,0.004
540,0.004
539,0.003
538,0.003
537,0.004
536,0.003
535,0.007
534,0.002
533,0.003
532,0.002
531,0.002
530,0.004
529,0.005
528,0.003
527,0.004
526,0.006
525,0.021
524,0.007
523,0.003
522,0.003
521,0.004
520,0.006
519,0.002
518,0.003
517,0.004
516,0.004
515,0.002
514,0.006
513,0.021
512,0.002
511,0.004
510,0.004
509,0.003
508,0.004
507,0.003
506,0.002
505,0.004
504,0.004
503,0.007
502,0.004
501,0.003
500,0.003
499,0.003
498,0.004
497,0.013
496,0.004
495,0.003
494,0.004
493,0.02
492,0.002
491,0.004
490,0.02
489,0.004
488,0.006
487,0.003
486,0.009
485,0.004
484,0.025
483,0.007
482,0.018
481,0.01
480,0.004
479,0.005
478,0.003
477,0.005
476,0.006
475,0.006
474,0.011
473,0.004
472,0.003
471,0.004
470,0.002
469,0.005
468,0.002
467,0.002
466,0.003
465,0.002
464,0.005
463,0.002
462,0.003
461,0.006
460,0.007
459,0.006
458,0.014
457,0.038
456,0.003
455,0.002
454,0.003
453,0.003
452,0.002
451,0.004
450,0.006
449,0.002
448,0.007
447,0.002
446,0.002
445,0.003
444,0.003
443,0.003
442,0.003
441,0.002
440,0.005
439,0.003
438,0.005
437,0.005
436,0.006
435,0.002
434,0.003
433,0.004
432,0.013
431,0.01
430,0.003
429,0.002
428,0.012
427,0.005
426,0.006
425,0.007
424,0.002
423,0.003
422,0.002
421,0.004
420,0.003
419,0.002
418,0.002
417,0.003
416,0.002
415,0.004
414,0.005
413,0.014
412,0.002
411,0.003
410,0.004
409,0.002
408,0.006
407,0.013
